Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","A study on super continuum generation in exponential type saturable nonlinearity",2014,"JSAP-OSA Joint Symposia, JSAP 2014",,,,"","",,,"10.1364/jsap.2014.17p_c4_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088770281&doi=10.1364%2fjsap.2014.17p_c4_9&partnerID=40&md5=519046ad3e499b552bd80dddb5930214",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85088770281
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","A theoretical investigation on modulational instability in non-instantaneous saturable nonlinear media",2014,"JSAP-OSA Joint Symposia, JSAP 2014",,,,"","",,,"10.1364/jsap.2014.17p_c4_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085406338&doi=10.1364%2fjsap.2014.17p_c4_8&partnerID=40&md5=c1dfc1eed17bac627b2aeec9cd917240",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85085406338
"Nithyanandan, K., Ali, A.K.S., Porsezian, K.","36246432800;57213370286;35561975500;","Modulational instability in the semiconductor doped dispersion decreasing fiber - A prospect for ultrashort pulse generation",2014,"Proceedings 12th International Conference on Fiber Optics and Photonics, Photonics 2014",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983158423&partnerID=40&md5=cd9b23b2a22e5b8d228d5b39cbac16ce",Conference Paper,"Final","",Scopus,2-s2.0-84983158423
"Nithyanandan, K., Shafeeque Ali, A.K., Porsezian, K.","36246432800;56401131700;35561975500;","Modulational instability in the semiconductor doped dispersion decreasing fiber - a prospect for ultrashort pulse generation",2014,"International Conference on Fibre Optics and Photonics, 2014",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929011644&partnerID=40&md5=b3bed3749ec7da8e72868705402bac6e",Conference Paper,"Final","",Scopus,2-s2.0-84929011644
"Nithyanandan, K., Vasantha Jayakantha Raja, R., Porsezian, K.","36246432800;25637567000;35561975500;","Power play in the supercontinuum spectra of saturable nonlinear media",2014,"Laser Physics","24","4", 045405,"","",,5,"10.1088/1054-660X/24/4/045405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898949137&doi=10.1088%2f1054-660X%2f24%2f4%2f045405&partnerID=40&md5=d420e4cda7d189ccc19bfdbf9a87da6c",Article,"Final","",Scopus,2-s2.0-84898949137
"Nithyanandan, K., Raja, R.V.J., Uthayakumar, T., Porsezian, K.","36246432800;25637567000;35362713600;35561975500;","Impact of higher-order dispersion in the modulational instability spectrum of a relaxing coupled saturable media",2014,"Pramana - Journal of Physics","82","2",,"339","345",,3,"10.1007/s12043-014-0687-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896260625&doi=10.1007%2fs12043-014-0687-8&partnerID=40&md5=59f4b87600eaf5c367eb0d0195c7c313",Conference Paper,"Final","",Scopus,2-s2.0-84896260625
"Uthayakumar, T., Raja, V.J.R., Nithyanandan, K., Porsezian, K.","35362713600;25637567000;36246432800;35561975500;","Investigation of all optical pulse steering through a highly nonlinear chalcogenide twin core photonic crystal fiber",2013,"2013 International Conference on Microwave and Photonics, ICMAP 2013",,, 6733549,"","",,2,"10.1109/ICMAP.2013.6733549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897772765&doi=10.1109%2fICMAP.2013.6733549&partnerID=40&md5=130b5ccee6dcebf653a443e761a91677",Conference Paper,"Final","",Scopus,2-s2.0-84897772765
"Nithyanandan, K., Porsezian, K.","36246432800;35561975500;","Observation of two state behavior in the instability spectra of saturable nonlinear media",2013,"European Physical Journal: Special Topics","222","3-4",,"821","825",,6,"10.1140/epjst/e2013-01885-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880128551&doi=10.1140%2fepjst%2fe2013-01885-0&partnerID=40&md5=142acfb04edfe37b20fec9ac41e2df0d",Article,"Final","",Scopus,2-s2.0-84880128551
"Porsezian, K., Nithyanandan, K., Vasantha Jayakantha Raja, R., Ganapathy, R.","35561975500;36246432800;25637567000;10041053700;","A theoretical investigation of soliton induced supercontinuum generation in liquid core photonic crystal fiber and dual core optical fiber",2013,"European Physical Journal: Special Topics","222","3-4",,"625","640",,1,"10.1140/epjst/e2013-01868-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880100230&doi=10.1140%2fepjst%2fe2013-01868-1&partnerID=40&md5=17b82f52621016a1652f6ec6877978fa",Article,"Final","",Scopus,2-s2.0-84880100230
"Nithyanandan, K., Raja, V.J., Uthayakumar, T., Porsezian, K.","36246432800;25637567000;35362713600;35561975500;","Impact of material absorption on supercontinuum generation in liquid core photonic crystal fiber",2013,"AIP Conference Proceedings","1536",,,"713","714",,,"10.1063/1.4810426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880104142&doi=10.1063%2f1.4810426&partnerID=40&md5=238c07a40e7513149276b6c6a95cab88",Conference Paper,"Final","",Scopus,2-s2.0-84880104142
